<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200205,000000,82.9700000,85.2500000,82.1500000,84.3900000,26601610
20200206,000000,84.7100000,85.3600000,82.8000000,83.7100000,20110480
20200207,000000,84.0000000,84.7900000,82.8000000,84.5300000,11803780
20200210,000000,84.6300000,84.7400000,79.8700000,82.0500000,38935110
20200211,000000,82.4300000,82.9000000,80.7600000,82.1800000,19626890
20200212,000000,82.2100000,83.1500000,81.5000000,82.7800000,15051500
20200213,000000,82.4700000,82.7000000,81.1600000,81.4700000,10464380
20200214,000000,81.4000000,82.3600000,81.2200000,82.1700000,7384560
20200217,000000,81.9200000,82.4800000,81.6400000,82.1900000,5234690
20200218,000000,82.0500000,82.6500000,80.3700000,80.5000000,13549380
20200219,000000,80.6000000,81.8100000,80.6000000,81.2500000,11167090
20200220,000000,81.4800000,83.7500000,81.3000000,82.9600000,20795220
20200221,000000,82.7100000,83.4500000,81.8500000,83.2000000,9055920
20200225,000000,81.5400000,86.0300000,80.0100000,80.2000000,26034860
20200226,000000,80.2400000,80.8700000,77.0000000,79.0000000,32588830
20200227,000000,78.7100000,78.8400000,75.9000000,76.2600000,29023410
20200228,000000,74.9900000,75.2500000,67.5600000,71.3900000,70913560
20200302,000000,73.3400000,73.5700000,70.0000000,71.5600000,31208050
20200303,000000,72.7100000,72.8100000,70.1200000,70.8200000,19353270
20200304,000000,70.1100000,72.1600000,67.4400000,71.5600000,25760370
20200305,000000,72.0000000,72.5000000,70.6800000,71.6500000,10930180
20200306,000000,71.2000000,71.5200000,68.7000000,70.7500000,36013040
20200310,000000,63.6900000,73.9800000,62.3700000,68.6100000,57066490
20200311,000000,70.0000000,71.3900000,67.0300000,69.4200000,30059070
20200312,000000,67.4000000,67.8800000,63.5500000,63.5500000,45406760
20200313,000000,64.0000000,66.2800000,62.7900000,62.7900000,39754310
20200316,000000,63.8900000,63.8900000,57.3100000,59.9500000,42393620
20200317,000000,59.2800000,60.4500000,57.3100000,58.9800000,27455480
20200318,000000,57.6800000,59.1900000,51.5100000,54.0000000,55170230
20200319,000000,53.5100000,59.7100000,51.0100000,59.7000000,46357980
